country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) 
Canada,1985,female,25-34 years,148,2257500,0.827,"364,756,499,451"
Canada,1985,female,75+ years,34,642900,0.827,"364,756,499,451"
Canada,1985,female,15-24 years,85,2143200,0.827,"364,756,499,451"
Canada,1985,male,5-14 years,13,1844400,0.827,"364,756,499,451"
Canada,1985,female,5-14 years,5,1751000,0.827,"364,756,499,451"
Canada,1986,male,75+ years,143,394400,,"377,437,927,312"
Canada,1986,male,25-34 years,719,2248800,,"377,437,927,312"
Canada,1986,male,35-54 years,878,3098100,,"377,437,927,312"
Canada,1986,male,55-74 years,52,1862900,,"377,437,927,312"
Canada,1986,male,15-24 years,57,2116700,,"377,437,927,312"
Canada,1986,female,35-54 years,37,3087900,,"377,437,927,312"
Canada,1986,female,55-74 years,191,2115500,,"377,437,927,312"
Canada,1986,female,25-34 years,172,2278400,,"377,437,927,312"
Canada,1986,female,75+ years,36,653100,,"377,437,927,312"
Canada,1986,female,15-24 years,19,2061500,,"377,437,927,312"
Canada,1986,male,5-14 years,2,1836900,,"377,437,927,312"
Canada,1986,female,5-14 years,5,1744900,,"377,437,927,312"
Canada,1987,male,25-34 years,79,2290800,,"431,316,742,081"
Canada,1987,male,75+ years,117,408700,,"431,316,742,081"
Canada,1987,male,55-74 years,535,1896900,,"431,316,742,081"
Canada,1987,male,35-54 years,874,3179200,,"431,316,742,081"
Canada,1987,male,15-24 years,532,2085000,,"431,316,742,081"
Canada,1987,female,35-54 years,298,3176700,,"431,316,742,081"
Canada,1987,female,55-74 years,171,2148300,,"431,316,742,081"
Canada,1987,female,25-34 years,178,2317300,,"431,316,742,081"
Canada,1987,female,75+ years,47,679400,,"431,316,742,081"
Canada,1987,female,15-24 years,1,2019400,,"431,316,742,081"
Canada,1987,male,5-14 years,25,1843600,,"431,316,742,081"
Canada,1987,female,5-14 years,5,1752800,,"431,316,742,081"
Canada,1988,male,75+ years,13,424900,,"507,354,351,182"
Canada,1988,male,25-34 years,679,2326400,,"507,354,351,182"
Canada,1988,male,55-74 years,525,1924900,,"507,354,351,182"
Canada,1988,male,15-24 years,549,2041900,,"507,354,351,182"
Canada,1988,male,35-54 years,827,3266900,,"507,354,351,182"
Canada,1988,female,35-54 years,322,3274100,,"507,354,351,182"
Canada,1988,female,25-34 years,168,2350300,,"507,354,351,182"
Canada,1988,female,55-74 years,142,2175900,,"507,354,351,182"
Canada,1988,female,75+ years,44,708300,,"507,354,351,182"
Canada,1988,female,15-24 years,96,1968700,,"507,354,351,182"
Canada,1988,male,5-14 years,24,1854500,,"507,354,351,182"
Canada,1988,female,5-14 years,4,1763800,,"507,354,351,182"
Canada,1989,male,75+ years,131,444600,,"565,055,743,243"
Canada,1989,male,25-34 years,666,2352400,,"565,055,743,243"
Canada,1989,male,15-24 years,528,1997200,,"565,055,743,243"
Canada,1989,male,55-74 years,51,1946000,,"565,055,743,243"
Canada,1989,male,35-54 years,85,3366100,,"565,055,743,243"
Canada,1989,female,35-54 years,322,3384300,,"565,055,743,243"
Canada,1989,female,55-74 years,163,2195700,,"565,055,743,243"
Canada,1989,female,25-34 years,174,2371500,,"565,055,743,243"
Canada,1989,female,75+ years,4,741000,,"565,055,743,243"
Canada,1989,female,15-24 years,91,1919500,,"565,055,743,243"
Canada,1989,male,5-14 years,19,1870700,,"565,055,743,243"
Canada,1989,female,5-14 years,6,1779400,,"565,055,743,243"
Canada,1990,male,75+ years,149,459600,0.849,"593,929,550,908"
Canada,1990,male,25-34 years,73,2372600,0.849,"593,929,550,908"
Canada,1990,male,35-54 years,884,3483200,0.849,"593,929,550,908"
Canada,1990,male,15-24 years,484,1970600,0.849,"593,929,550,908"
Canada,1990,male,55-74 years,43,1969600,0.849,"593,929,550,908"
Canada,1990,female,35-54 years,293,3506700,0.849,"593,929,550,908"
Canada,1990,female,25-34 years,154,2388600,0.849,"593,929,550,908"
Canada,1990,female,55-74 years,125,2216700,0.849,"593,929,550,908"
Canada,1990,female,15-24 years,94,1888000,0.849,"593,929,550,908"
Canada,1990,female,75+ years,32,768500,0.849,"593,929,550,908"
Canada,1990,male,5-14 years,23,1882100,0.849,"593,929,550,908"
Canada,1990,female,5-14 years,7,1798200,0.849,"593,929,550,908"
Canada,1991,male,25-34 years,713,2420300,,"610,328,183,643"
Canada,1991,male,75+ years,139,478900,,"610,328,183,643"
Canada,1991,male,15-24 years,539,1943600,,"610,328,183,643"
Canada,1991,male,35-54 years,974,3663400,,"610,328,183,643"
Canada,1991,male,55-74 years,49,2031500,,"610,328,183,643"
Canada,1991,female,35-54 years,271,3674300,,"610,328,183,643"
Canada,1991,female,25-34 years,177,2446400,,"610,328,183,643"
Canada,1991,female,55-74 years,154,2263200,,"610,328,183,643"
Canada,1991,female,15-24 years,76,1886900,,"610,328,183,643"
Canada,1991,female,75+ years,31,795900,,"610,328,183,643"
Canada,1991,male,5-14 years,2,1941100,,"610,328,183,643"
Canada,1991,female,5-14 years,9,1844900,,"610,328,183,643"
Canada,1992,male,25-34 years,739,2561600,,"592,387,689,253"
Canada,1992,male,75+ years,136,499900,,"592,387,689,253"
Canada,1992,male,35-54 years,12,3889500,,"592,387,689,253"
Canada,1992,male,15-24 years,54,2042300,,"592,387,689,253"
Canada,1992,male,55-74 years,497,2087600,,"592,387,689,253"
Canada,1992,female,35-54 years,323,3857500,,"592,387,689,253"
Canada,1992,female,55-74 years,146,2313800,,"592,387,689,253"
Canada,1992,female,25-34 years,155,2499900,,"592,387,689,253"
Canada,1992,female,15-24 years,119,1969200,,"592,387,689,253"
Canada,1992,female,75+ years,35,834600,,"592,387,689,253"
Canada,1992,male,5-14 years,26,1995400,,"592,387,689,253"
Canada,1992,female,5-14 years,8,1903100,,"592,387,689,253"
Canada,1993,male,35-54 years,1141,4049700,,"577,170,761,956"
Canada,1993,male,25-34 years,721,2568700,,"577,170,761,956"
Canada,1993,male,75+ years,138,513400,,"577,170,761,956"
Canada,1993,male,15-24 years,488,2054700,,"577,170,761,956"
Canada,1993,male,55-74 years,499,2127800,,"577,170,761,956"
Canada,1993,female,35-54 years,331,4013200,,"577,170,761,956"
Canada,1993,female,75+ years,55,858000,,"577,170,761,956"
Canada,1993,female,55-74 years,146,2348500,,"577,170,761,956"
Canada,1993,female,25-34 years,146,2501800,,"577,170,761,956"
Canada,1993,female,15-24 years,93,1978900,,"577,170,761,956"
Canada,1993,male,5-14 years,27,2009100,,"577,170,761,956"
Canada,1993,female,5-14 years,18,1920900,,"577,170,761,956"
Canada,1994,male,75+ years,16,527500,,"578,139,279,438"
Canada,1994,male,35-54 years,115,4177400,,"578,139,279,438"
Canada,1994,male,25-34 years,636,2523000,,"578,139,279,438"
Canada,1994,male,15-24 years,56,2048800,,"578,139,279,438"
Canada,1994,male,55-74 years,479,2164400,,"578,139,279,438"
Canada,1994,female,35-54 years,339,4145800,,"578,139,279,438"
Canada,1994,female,55-74 years,152,2380300,,"578,139,279,438"
Canada,1994,female,25-34 years,135,2460500,,"578,139,279,438"
Canada,1994,female,15-24 years,15,1972200,,"578,139,279,438"
Canada,1994,female,75+ years,37,884500,,"578,139,279,438"
Canada,1994,male,5-14 years,37,2024800,,"578,139,279,438"
Canada,1994,female,5-14 years,12,1936800,,"578,139,279,438"
Canada,1995,male,25-34 years,744,2489100,0.861,"604,031,623,433"
Canada,1995,male,35-54 years,1264,4316200,0.861,"604,031,623,433"
Canada,1995,male,75+ years,146,549900,0.861,"604,031,623,433"
Canada,1995,male,15-24 years,57,2051200,0.861,"604,031,623,433"
Canada,1995,male,55-74 years,473,2193400,0.861,"604,031,623,433"
Canada,1995,female,35-54 years,363,4287400,0.861,"604,031,623,433"
Canada,1995,female,55-74 years,157,2403700,0.861,"604,031,623,433"
Canada,1995,female,25-34 years,141,2431800,0.861,"604,031,623,433"
Canada,1995,female,15-24 years,96,1972700,0.861,"604,031,623,433"
Canada,1995,female,75+ years,34,921200,0.861,"604,031,623,433"
Canada,1995,male,5-14 years,22,2045200,0.861,"604,031,623,433"
Canada,1995,female,5-14 years,21,1956700,0.861,"604,031,623,433"
Canada,1996,male,75+ years,162,555800,,"628,546,387,972"
Canada,1996,male,35-54 years,1273,4393100,,"628,546,387,972"
Canada,1996,male,25-34 years,63,2399900,,"628,546,387,972"
Canada,1996,male,15-24 years,49,2058900,,"628,546,387,972"
Canada,1996,male,55-74 years,56,2212300,,"628,546,387,972"
Canada,1996,female,35-54 years,434,4396400,,"628,546,387,972"
Canada,1996,female,55-74 years,144,2417100,,"628,546,387,972"
Canada,1996,female,25-34 years,137,2346000,,"628,546,387,972"
Canada,1996,female,15-24 years,91,1964700,,"628,546,387,972"
Canada,1996,female,75+ years,33,935900,,"628,546,387,972"
Canada,1996,male,5-14 years,32,2064700,,"628,546,387,972"
Canada,1996,female,5-14 years,9,1961800,,"628,546,387,972"
Canada,1997,male,35-54 years,123,4525200,,"652,825,364,726"
Canada,1997,male,75+ years,156,578100,,"652,825,364,726"
Canada,1997,male,25-34 years,535,2359600,,"652,825,364,726"
Canada,1997,male,15-24 years,464,2076000,,"652,825,364,726"
Canada,1997,male,55-74 years,49,2249500,,"652,825,364,726"
Canada,1997,female,35-54 years,356,4525500,,"652,825,364,726"
Canada,1997,female,25-34 years,136,2308000,,"652,825,364,726"
Canada,1997,female,55-74 years,131,2446100,,"652,825,364,726"
Canada,1997,female,15-24 years,9,1980900,,"652,825,364,726"
Canada,1997,female,75+ years,42,970900,,"652,825,364,726"
Canada,1997,male,5-14 years,39,2084500,,"652,825,364,726"
Canada,1997,female,5-14 years,12,1980800,,"652,825,364,726"
Canada,1998,male,35-54 years,1226,4637556,,"631,813,279,407"
Canada,1998,male,25-34 years,568,2301724,,"631,813,279,407"
Canada,1998,male,75+ years,147,599107,,"631,813,279,407"
Canada,1998,male,15-24 years,457,2090656,,"631,813,279,407"
Canada,1998,male,55-74 years,497,2294107,,"631,813,279,407"
Canada,1998,female,35-54 years,341,4634299,,"631,813,279,407"
Canada,1998,female,25-34 years,133,2251763,,"631,813,279,407"
Canada,1998,female,15-24 years,15,1993396,,"631,813,279,407"
Canada,1998,female,55-74 years,129,2483325,,"631,813,279,407"
Canada,1998,female,75+ years,5,1003373,,"631,813,279,407"
Canada,1998,male,5-14 years,3,2094080,,"631,813,279,407"
Canada,1998,female,5-14 years,16,1989150,,"631,813,279,407"
Canada,1999,male,35-54 years,1442,4743615,,"676,082,654,641"
Canada,1999,male,25-34 years,614,2254396,,"676,082,654,641"
Canada,1999,male,75+ years,155,620972,,"676,082,654,641"
Canada,1999,male,55-74 years,52,2341132,,"676,082,654,641"
Canada,1999,male,15-24 years,468,2112560,,"676,082,654,641"
Canada,1999,female,35-54 years,435,4736367,,"676,082,654,641"
Canada,1999,female,55-74 years,147,2523439,,"676,082,654,641"
Canada,1999,female,25-34 years,118,2206484,,"676,082,654,641"
Canada,1999,female,75+ years,53,1037189,,"676,082,654,641"
Canada,1999,female,15-24 years,9,2014044,,"676,082,654,641"
Canada,1999,male,5-14 years,25,2098556,,"676,082,654,641"
Canada,1999,female,5-14 years,7,1992889,,"676,082,654,641"
Canada,2000,male,35-54 years,1254,4840239,0.867,"742,293,448,253"
Canada,2000,male,75+ years,146,644375,0.867,"742,293,448,253"
Canada,2000,male,25-34 years,484,2226742,0.867,"742,293,448,253"
Canada,2000,male,15-24 years,43,2131117,0.867,"742,293,448,253"
Canada,2000,male,55-74 years,455,2390741,0.867,"742,293,448,253"
Canada,2000,female,35-54 years,393,4830067,0.867,"742,293,448,253"
Canada,2000,female,15-24 years,112,2030972,0.867,"742,293,448,253"
Canada,2000,female,25-34 years,119,2177984,0.867,"742,293,448,253"
Canada,2000,female,55-74 years,137,2567097,0.867,"742,293,448,253"
Canada,2000,female,75+ years,3,1071636,0.867,"742,293,448,253"
Canada,2000,male,5-14 years,29,2101448,0.867,"742,293,448,253"
Canada,2000,female,5-14 years,17,1996147,0.867,"742,293,448,253"
Canada,2001,male,35-54 years,1347,4892041,,"736,379,777,893"
Canada,2001,male,25-34 years,5,2182409,,"736,379,777,893"
Canada,2001,male,75+ years,131,665842,,"736,379,777,893"
Canada,2001,male,55-74 years,481,2458947,,"736,379,777,893"
Canada,2001,male,15-24 years,398,2168038,,"736,379,777,893"
Canada,2001,female,35-54 years,392,4894497,,"736,379,777,893"
Canada,2001,female,55-74 years,161,2618587,,"736,379,777,893"
Canada,2001,female,25-34 years,114,2130957,,"736,379,777,893"
Canada,2001,female,15-24 years,15,2059190,,"736,379,777,893"
Canada,2001,female,75+ years,38,1096205,,"736,379,777,893"
Canada,2001,male,5-14 years,14,2096912,,"736,379,777,893"
Canada,2001,female,5-14 years,13,1998430,,"736,379,777,893"
Canada,2002,male,35-54 years,1292,4926984,,"757,950,678,647"
Canada,2002,male,75+ years,164,691551,,"757,950,678,647"
Canada,2002,male,25-34 years,466,2194450,,"757,950,678,647"
Canada,2002,male,55-74 years,527,2550479,,"757,950,678,647"
Canada,2002,male,15-24 years,384,2192632,,"757,950,678,647"
Canada,2002,female,35-54 years,37,4929966,,"757,950,678,647"
Canada,2002,female,25-34 years,124,2142391,,"757,950,678,647"
Canada,2002,female,55-74 years,15,2707035,,"757,950,678,647"
Canada,2002,female,15-24 years,18,2084984,,"757,950,678,647"
Canada,2002,female,75+ years,3,1126677,,"757,950,678,647"
Canada,2002,male,5-14 years,18,2097593,,"757,950,678,647"
Canada,2002,female,5-14 years,17,1997372,,"757,950,678,647"
Canada,2003,male,35-54 years,1317,4950960,,"892,380,986,368"
Canada,2003,male,55-74 years,581,2636917,,"892,380,986,368"
Canada,2003,male,75+ years,151,718916,,"892,380,986,368"
Canada,2003,male,25-34 years,426,2205120,,"892,380,986,368"
Canada,2003,male,15-24 years,49,2211023,,"892,380,986,368"
Canada,2003,female,35-54 years,438,4956221,,"892,380,986,368"
Canada,2003,female,15-24 years,113,2103731,,"892,380,986,368"
Canada,2003,female,25-34 years,114,2151969,,"892,380,986,368"
Canada,2003,female,55-74 years,145,2792599,,"892,380,986,368"
Canada,2003,female,75+ years,44,1156073,,"892,380,986,368"
Canada,2003,male,5-14 years,19,2087408,,"892,380,986,368"
Canada,2003,female,5-14 years,8,1987896,,"892,380,986,368"
Canada,2004,male,35-54 years,121,4982932,,"1,023,196,003,075"
Canada,2004,male,25-34 years,477,2220407,,"1,023,196,003,075"
Canada,2004,male,75+ years,154,744741,,"1,023,196,003,075"
Canada,2004,male,55-74 years,497,2721795,,"1,023,196,003,075"
Canada,2004,male,15-24 years,379,2230355,,"1,023,196,003,075"
Canada,2004,female,35-54 years,428,4986017,,"1,023,196,003,075"
Canada,2004,female,55-74 years,181,2879432,,"1,023,196,003,075"
Canada,2004,female,25-34 years,114,2169563,,"1,023,196,003,075"
Canada,2004,female,15-24 years,11,2124167,,"1,023,196,003,075"
Canada,2004,female,75+ years,44,1183549,,"1,023,196,003,075"
Canada,2004,male,5-14 years,17,2069874,,"1,023,196,003,075"
Canada,2004,female,5-14 years,11,1971134,,"1,023,196,003,075"
Canada,2005,male,35-54 years,1341,5018957,0.892,"1,169,357,979,865"
Canada,2005,male,75+ years,165,772032,0.892,"1,169,357,979,865"
Canada,2005,male,55-74 years,539,2802901,0.892,"1,169,357,979,865"
Canada,2005,male,25-34 years,415,2236320,0.892,"1,169,357,979,865"
Canada,2005,male,15-24 years,378,2249377,0.892,"1,169,357,979,865"
Canada,2005,female,35-54 years,418,5018764,0.892,"1,169,357,979,865"
Canada,2005,female,15-24 years,131,2144094,0.892,"1,169,357,979,865"
Canada,2005,female,55-74 years,158,2961910,0.892,"1,169,357,979,865"
Canada,2005,female,75+ years,58,1211769,0.892,"1,169,357,979,865"
Canada,2005,female,25-34 years,96,2188897,0.892,"1,169,357,979,865"
Canada,2005,female,5-14 years,25,1947297,0.892,"1,169,357,979,865"
Canada,2005,male,5-14 years,19,2044772,0.892,"1,169,357,979,865"
Canada,2006,male,35-54 years,122,5050497,,"1,315,415,197,461"
Canada,2006,male,75+ years,188,806380,,"1,315,415,197,461"
Canada,2006,male,55-74 years,599,2910932,,"1,315,415,197,461"
Canada,2006,male,25-34 years,362,2220384,,"1,315,415,197,461"
Canada,2006,male,15-24 years,331,2288073,,"1,315,415,197,461"
Canada,2006,female,35-54 years,362,5021174,,"1,315,415,197,461"
Canada,2006,female,55-74 years,187,3071300,,"1,315,415,197,461"
Canada,2006,female,25-34 years,118,2177957,,"1,315,415,197,461"
Canada,2006,female,15-24 years,86,2179623,,"1,315,415,197,461"
Canada,2006,female,75+ years,46,1241475,,"1,315,415,197,461"
Canada,2006,female,5-14 years,18,1920311,,"1,315,415,197,461"
Canada,2006,male,5-14 years,13,2014856,,"1,315,415,197,461"
Canada,2007,male,35-54 years,1224,5064536,,"1,464,977,190,206"
Canada,2007,male,75+ years,183,837259,,"1,464,977,190,206"
Canada,2007,male,25-34 years,44,2250433,,"1,464,977,190,206"
Canada,2007,male,55-74 years,539,3006062,,"1,464,977,190,206"
Canada,2007,male,15-24 years,359,2318148,,"1,464,977,190,206"
Canada,2007,female,35-54 years,4,5030803,,"1,464,977,190,206"
Canada,2007,female,55-74 years,188,3170541,,"1,464,977,190,206"
Canada,2007,female,15-24 years,116,2206555,,"1,464,977,190,206"
Canada,2007,female,25-34 years,113,2212210,,"1,464,977,190,206"
Canada,2007,female,75+ years,52,1269438,,"1,464,977,190,206"
Canada,2007,male,5-14 years,18,1986129,,"1,464,977,190,206"
Canada,2007,female,5-14 years,15,1890517,,"1,464,977,190,206"
Canada,2008,male,35-54 years,1241,5076969,,"1,549,131,208,997"
Canada,2008,male,75+ years,192,866435,,"1,549,131,208,997"
Canada,2008,male,55-74 years,589,3107189,,"1,549,131,208,997"
Canada,2008,male,25-34 years,395,2286010,,"1,549,131,208,997"
Canada,2008,male,15-24 years,344,2341539,,"1,549,131,208,997"
Canada,2008,female,35-54 years,413,5038500,,"1,549,131,208,997"
Canada,2008,female,55-74 years,231,3276332,,"1,549,131,208,997"
Canada,2008,female,15-24 years,119,2227003,,"1,549,131,208,997"
Canada,2008,female,25-34 years,118,2251723,,"1,549,131,208,997"
Canada,2008,female,75+ years,38,1296269,,"1,549,131,208,997"
Canada,2008,male,5-14 years,16,1959155,,"1,549,131,208,997"
Canada,2008,female,5-14 years,9,1861517,,"1,549,131,208,997"
Canada,2009,male,35-54 years,1328,5085328,,"1,371,153,004,986"
Canada,2009,male,55-74 years,68,3216246,,"1,371,153,004,986"
Canada,2009,male,75+ years,182,893202,,"1,371,153,004,986"
Canada,2009,male,25-34 years,437,2325144,,"1,371,153,004,986"
Canada,2009,male,15-24 years,349,2355316,,"1,371,153,004,986"
Canada,2009,female,35-54 years,42,5043261,,"1,371,153,004,986"
Canada,2009,female,15-24 years,13,2238546,,"1,371,153,004,986"
Canada,2009,female,55-74 years,192,3389717,,"1,371,153,004,986"
Canada,2009,female,25-34 years,119,2293665,,"1,371,153,004,986"
Canada,2009,female,75+ years,46,1322098,,"1,371,153,004,986"
Canada,2009,male,5-14 years,13,1937420,,"1,371,153,004,986"
Canada,2009,female,5-14 years,12,1837414,,"1,371,153,004,986"
Canada,2010,male,35-54 years,1292,5088099,0.903,"1,613,464,422,811"
Canada,2010,male,75+ years,2,917671,0.903,"1,613,464,422,811"
Canada,2010,male,55-74 years,69,3333897,0.903,"1,613,464,422,811"
Canada,2010,male,25-34 years,49,2366854,0.903,"1,613,464,422,811"
Canada,2010,male,15-24 years,371,2357806,0.903,"1,613,464,422,811"
Canada,2010,female,35-54 years,42,5044926,0.903,"1,613,464,422,811"
Canada,2010,female,55-74 years,237,3510692,0.903,"1,613,464,422,811"
Canada,2010,female,25-34 years,154,2335884,0.903,"1,613,464,422,811"
Canada,2010,female,15-24 years,115,2239759,0.903,"1,613,464,422,811"
Canada,2010,female,75+ years,49,1347679,0.903,"1,613,464,422,811"
Canada,2010,male,5-14 years,19,1922599,0.903,"1,613,464,422,811"
Canada,2010,female,5-14 years,13,1820274,0.903,"1,613,464,422,811"
Canada,2011,male,35-54 years,1127,5074280,0.909,"1,788,647,906,048"
Canada,2011,male,55-74 years,683,3455517,0.909,"1,788,647,906,048"
Canada,2011,male,75+ years,184,943428,0.909,"1,788,647,906,048"
Canada,2011,male,25-34 years,41,2400784,0.909,"1,788,647,906,048"
Canada,2011,male,15-24 years,364,2356694,0.909,"1,788,647,906,048"
Canada,2011,female,35-54 years,39,5032043,0.909,"1,788,647,906,048"
Canada,2011,female,15-24 years,135,2248192,0.909,"1,788,647,906,048"
Canada,2011,female,55-74 years,215,3629587,0.909,"1,788,647,906,048"
Canada,2011,female,25-34 years,134,2370185,0.909,"1,788,647,906,048"
Canada,2011,female,75+ years,55,1368680,0.909,"1,788,647,906,048"
Canada,2011,female,5-14 years,18,1815461,0.909,"1,788,647,906,048"
Canada,2011,male,5-14 years,13,1920567,0.909,"1,788,647,906,048"
Canada,2012,male,35-54 years,125,5056024,0.91,"1,824,288,757,448"
Canada,2012,male,55-74 years,77,3586361,0.91,"1,824,288,757,448"
Canada,2012,male,75+ years,18,967342,0.91,"1,824,288,757,448"
Canada,2012,male,25-34 years,419,2431632,0.91,"1,824,288,757,448"
Canada,2012,male,15-24 years,381,2358461,0.91,"1,824,288,757,448"
Canada,2012,female,35-54 years,385,5018897,0.91,"1,824,288,757,448"
Canada,2012,female,55-74 years,241,3756013,0.91,"1,824,288,757,448"
Canada,2012,female,15-24 years,137,2255895,0.91,"1,824,288,757,448"
Canada,2012,female,25-34 years,129,2403433,0.91,"1,824,288,757,448"
Canada,2012,female,75+ years,45,1389078,0.91,"1,824,288,757,448"
Canada,2012,female,5-14 years,17,1816079,0.91,"1,824,288,757,448"
Canada,2012,male,5-14 years,17,1921981,0.91,"1,824,288,757,448"
Canada,2013,male,35-54 years,1244,5032714,0.912,"1,842,628,005,830"
Canada,2013,male,75+ years,231,991048,0.912,"1,842,628,005,830"
Canada,2013,male,55-74 years,812,3724622,0.912,"1,842,628,005,830"
Canada,2013,male,25-34 years,439,2456335,0.912,"1,842,628,005,830"
Canada,2013,male,15-24 years,3,2362807,0.912,"1,842,628,005,830"
Canada,2013,female,35-54 years,4,5003771,0.912,"1,842,628,005,830"
Canada,2013,female,55-74 years,255,3887315,0.912,"1,842,628,005,830"
Canada,2013,female,15-24 years,138,2261173,0.912,"1,842,628,005,830"
Canada,2013,female,25-34 years,135,2433660,0.912,"1,842,628,005,830"
Canada,2013,female,75+ years,65,1410630,0.912,"1,842,628,005,830"
Canada,2013,female,5-14 years,2,1823010,0.912,"1,842,628,005,830"
Canada,2013,male,5-14 years,15,1927751,0.912,"1,842,628,005,830"
Chile,1985,male,75+ years,34,87600,0.654,"17,702,885,394"
Chile,1985,male,55-74 years,1,538000,0.654,"17,702,885,394"
Chile,1985,male,35-54 years,174,1201800,0.654,"17,702,885,394"
Chile,1985,male,25-34 years,122,962600,0.654,"17,702,885,394"
Chile,1985,male,15-24 years,133,1239900,0.654,"17,702,885,394"
Chile,1985,female,55-74 years,21,633700,0.654,"17,702,885,394"
Chile,1985,female,35-54 years,4,1252200,0.654,"17,702,885,394"
Chile,1985,female,15-24 years,27,1216200,0.654,"17,702,885,394"
Chile,1985,female,75+ years,3,141200,0.654,"17,702,885,394"
Chile,1985,female,25-34 years,19,957500,0.654,"17,702,885,394"
Chile,1985,male,5-14 years,9,1240900,0.654,"17,702,885,394"
Chile,1985,female,5-14 years,1,1203800,0.654,"17,702,885,394"
Chile,1986,male,75+ years,21,91400,,"18,891,048,819"
Chile,1986,male,55-74 years,116,550000,,"18,891,048,819"
Chile,1986,male,35-54 years,156,1237100,,"18,891,048,819"
Chile,1986,male,25-34 years,124,1024700,,"18,891,048,819"
Chile,1986,male,15-24 years,18,1261700,,"18,891,048,819"
Chile,1986,female,15-24 years,37,1234200,,"18,891,048,819"
Chile,1986,female,35-54 years,37,1305400,,"18,891,048,819"
Chile,1986,female,25-34 years,26,1018700,,"18,891,048,819"
Chile,1986,female,55-74 years,15,657700,,"18,891,048,819"
Chile,1986,female,75+ years,3,147500,,"18,891,048,819"
Chile,1986,male,5-14 years,7,1224000,,"18,891,048,819"
Chile,1986,female,5-14 years,4,1179300,,"18,891,048,819"
Chile,1987,male,55-74 years,12,563900,,"22,255,407,685"
Chile,1987,male,75+ years,19,93700,,"22,255,407,685"
Chile,1987,male,25-34 years,147,1050700,,"22,255,407,685"
Chile,1987,male,35-54 years,16,1268600,,"22,255,407,685"
Chile,1987,male,15-24 years,116,1293700,,"22,255,407,685"
Chile,1987,female,55-74 years,23,674400,,"22,255,407,685"
Chile,1987,female,15-24 years,38,1265500,,"22,255,407,685"
Chile,1987,female,25-34 years,29,1044400,,"22,255,407,685"
Chile,1987,female,35-54 years,34,1338500,,"22,255,407,685"
Chile,1987,male,5-14 years,6,1255100,,"22,255,407,685"
Chile,1987,female,5-14 years,1,1209200,,"22,255,407,685"
Chile,1987,female,75+ years,,151300,,"22,255,407,685"
Chile,1988,male,75+ years,29,106000,,"26,040,229,793"
Chile,1988,male,55-74 years,11,566000,,"26,040,229,793"
Chile,1988,male,25-34 years,16,1095000,,"26,040,229,793"
Chile,1988,male,35-54 years,173,1272000,,"26,040,229,793"
Chile,1988,male,15-24 years,112,1259000,,"26,040,229,793"
Chile,1988,female,15-24 years,38,1233000,,"26,040,229,793"
Chile,1988,female,55-74 years,19,697000,,"26,040,229,793"
Chile,1988,female,35-54 years,32,1329000,,"26,040,229,793"
Chile,1988,female,75+ years,3,172000,,"26,040,229,793"
Chile,1988,female,25-34 years,19,1090000,,"26,040,229,793"
Chile,1988,female,5-14 years,6,1224000,,"26,040,229,793"
Chile,1988,male,5-14 years,5,1263000,,"26,040,229,793"
Chile,1989,male,75+ years,34,106000,,"29,885,685,143"
Chile,1989,male,55-74 years,19,579000,,"29,885,685,143"
Chile,1989,male,25-34 years,162,1123000,,"29,885,685,143"
Chile,1989,male,35-54 years,17,1314000,,"29,885,685,143"
Chile,1989,male,15-24 years,14,1255000,,"29,885,685,143"
Chile,1989,female,35-54 years,33,1370000,,"29,885,685,143"
Chile,1989,female,15-24 years,26,1228000,,"29,885,685,143"
Chile,1989,female,25-34 years,23,1117000,,"29,885,685,143"
Chile,1989,female,75+ years,3,175000,,"29,885,685,143"
Chile,1989,female,55-74 years,12,715000,,"29,885,685,143"
Chile,1989,male,5-14 years,11,1280000,,"29,885,685,143"
Chile,1989,female,5-14 years,2,1239000,,"29,885,685,143"
Chile,1990,male,55-74 years,145,608000,0.699,"33,113,887,818"
Chile,1990,male,75+ years,22,112000,0.699,"33,113,887,818"
Chile,1990,male,35-54 years,176,1340000,0.699,"33,113,887,818"
Chile,1990,male,25-34 years,148,1167000,0.699,"33,113,887,818"
Chile,1990,male,15-24 years,134,1256000,0.699,"33,113,887,818"
Chile,1990,female,55-74 years,19,732000,0.699,"33,113,887,818"
Chile,1990,female,35-54 years,34,1419000,0.699,"33,113,887,818"
Chile,1990,female,25-34 years,27,1162000,0.699,"33,113,887,818"
Chile,1990,female,15-24 years,23,1230000,0.699,"33,113,887,818"
Chile,1990,female,75+ years,3,171000,0.699,"33,113,887,818"
Chile,1990,male,5-14 years,9,1276000,0.699,"33,113,887,818"
Chile,1990,female,5-14 years,3,1236000,0.699,"33,113,887,818"
Chile,1991,male,75+ years,31,112500,,"37,834,793,730"
Chile,1991,male,55-74 years,111,617200,,"37,834,793,730"
Chile,1991,male,35-54 years,222,1404000,,"37,834,793,730"
Chile,1991,male,25-34 years,143,1178100,,"37,834,793,730"
Chile,1991,male,15-24 years,142,1243900,,"37,834,793,730"
Chile,1991,female,35-54 years,42,1453200,,"37,834,793,730"
Chile,1991,female,15-24 years,34,1217200,,"37,834,793,730"
Chile,1991,female,75+ years,5,186300,,"37,834,793,730"
